close,timestamp,exchange,expiry,high,low,open,oi,type,instrument,volume
12748,30/01/13 11:58,NFO,31-Jan-13,12750,12743,12750,877425,Futures,CNXBAN,3000
12750,30/01/13 11:59,NFO,31-Jan-13,12752,12747.55,12748,877425,Futures,CNXBAN,975
12745,30/01/13 12:00,NFO,31-Jan-13,12752,12745,12750,877425,Futures,CNXBAN,525
12752,30/01/13 12:01,NFO,31-Jan-13,12752,12745,12745,877200,Futures,CNXBAN,1425
12750,30/01/13 12:02,NFO,31-Jan-13,12753,12750,12752,877200,Futures,CNXBAN,975
12736,30/01/13 12:03,NFO,31-Jan-13,12751.5,12735.65,12750,877200,Futures,CNXBAN,6075
12738,30/01/13 12:04,NFO,31-Jan-13,12744.8,12734,12736,877600,Futures,CNXBAN,3850
12735.95,30/01/13 12:05,NFO,31-Jan-13,12739.5,12733,12739.35,877600,Futures,CNXBAN,3725
12730,30/01/13 12:06,NFO,31-Jan-13,12736,12726.3,12735.95,877600,Futures,CNXBAN,8675
12735.95,30/01/13 12:07,NFO,31-Jan-13,12739.4,12730,12730,878475,Futures,CNXBAN,3550
12743,30/01/13 12:08,NFO,31-Jan-13,12744.5,12735,12735.95,878475,Futures,CNXBAN,3125
12740,30/01/13 12:09,NFO,31-Jan-13,12743.8,12737.75,12742.95,878475,Futures,CNXBAN,1950
12738,30/01/13 12:10,NFO,31-Jan-13,12740,12737.05,12737.05,880600,Futures,CNXBAN,1275
12739,30/01/13 12:11,NFO,31-Jan-13,12739.55,12737,12738,880600,Futures,CNXBAN,775
12740,30/01/13 12:12,NFO,31-Jan-13,12740,12735,12739,880600,Futures,CNXBAN,725
12740.4,30/01/13 12:13,NFO,31-Jan-13,12743.45,12740,12740,879200,Futures,CNXBAN,1675
12736.95,30/01/13 12:14,NFO,31-Jan-13,12740.4,12735,12740.4,879200,Futures,CNXBAN,725
12738,30/01/13 12:15,NFO,31-Jan-13,12738,12735,12737,879200,Futures,CNXBAN,675
12743.9,30/01/13 12:16,NFO,31-Jan-13,12744,12738,12738,880050,Futures,CNXBAN,725
12746,30/01/13 12:17,NFO,31-Jan-13,12746,12743.85,12743.9,880050,Futures,CNXBAN,1150
12742.8,30/01/13 12:18,NFO,31-Jan-13,12747.8,12742.8,12746,880050,Futures,CNXBAN,1500
12742.3,30/01/13 12:19,NFO,31-Jan-13,12743.1,12742.05,12742.8,880925,Futures,CNXBAN,800
12752,30/01/13 12:20,NFO,31-Jan-13,12752,12742.3,12742.3,880925,Futures,CNXBAN,2600
12759,30/01/13 12:21,NFO,31-Jan-13,12759,12750,12750.75,880925,Futures,CNXBAN,5900
12765.6,30/01/13 12:22,NFO,31-Jan-13,12765.6,12756.9,12759,882000,Futures,CNXBAN,5825
12769.95,30/01/13 12:23,NFO,31-Jan-13,12772.7,12765,12765.6,882000,Futures,CNXBAN,8700
12771,30/01/13 12:24,NFO,31-Jan-13,12771,12765,12769.95,882000,Futures,CNXBAN,3275
12774.95,30/01/13 12:25,NFO,31-Jan-13,12777.85,12771,12771.6,872900,Futures,CNXBAN,13275
12778,30/01/13 12:26,NFO,31-Jan-13,12780,12775.5,12775.5,872900,Futures,CNXBAN,7250
12787,30/01/13 12:27,NFO,31-Jan-13,12787.95,12773.35,12775,872900,Futures,CNXBAN,12325
12784.95,30/01/13 12:28,NFO,31-Jan-13,12785.8,12780,12785.8,864675,Futures,CNXBAN,6625
12786,30/01/13 12:29,NFO,31-Jan-13,12789.9,12785,12785,864675,Futures,CNXBAN,8700
12792,30/01/13 12:30,NFO,31-Jan-13,12794.35,12785.45,12785.9,864675,Futures,CNXBAN,8600
12782.4,30/01/13 12:31,NFO,31-Jan-13,12791.6,12780.5,12791.6,860450,Futures,CNXBAN,4225
12789,30/01/13 12:32,NFO,31-Jan-13,12790,12781.75,12784.95,860450,Futures,CNXBAN,3825
12782,30/01/13 12:33,NFO,31-Jan-13,12789,12781.1,12789,860450,Futures,CNXBAN,1850
12777,30/01/13 12:34,NFO,31-Jan-13,12780.9,12775.7,12780.1,858800,Futures,CNXBAN,3750
12775.05,30/01/13 12:35,NFO,31-Jan-13,12777,12773.3,12777,858800,Futures,CNXBAN,2050
12780.15,30/01/13 12:36,NFO,31-Jan-13,12781,12775.05,12775.05,858800,Futures,CNXBAN,1725
12780,30/01/13 12:37,NFO,31-Jan-13,12782.5,12779.45,12780.35,858775,Futures,CNXBAN,1800
